PARTI,2019,2024
N-VA,25,24
MR,14,21
VLAAMS BELANG,18,20
PS,20,15
LES ENGAGÉS,5,14
PTB-PVDA,12,13
VOORUIT,9,13
CD&V,12,11
OPEN VLD,12,8
ECOLO,13,5
GROEN,8,5
DÉFI,2,1
