PARTI,2019,2024
MR,13,20
PS,17,16
PTB,10,15
LES ENGAGÉS,6,8
ECOLO,15,7
DÉFI,10,6
GROEN,4,4
TEAM FOUAD AHIDAR,0,3
N-VA,3,2
OPEN VLD,3,2
VLAAMS BELANG,1,2
VOORUIT.BRUSSELS,3,2
CD&V,1,1
PVDA,1,1
