PARTI,2019,2024
N-VA,35,31
VLAAMS BELANG,23,31
VOORUIT,13,17
CD&V,19,16
PVDA,4,10
GROEN,14,9
OPEN VLD,16,9
TEAM FOUAD AHIDAR,0,1
